2025-12-22 19:11:19.600 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.603 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.605 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.608 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.610 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.613 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.615 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.618 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.621 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.789 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
2025-12-22 19:11:19.793 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.796 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.799 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.801 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.804 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.807 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.810 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.813 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.817 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.821 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.850 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
2025-12-22 19:11:19.853 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.855 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.858 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.860 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.863 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.865 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.868 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.872 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.875 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:19.878 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.086 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
2025-12-22 19:11:20.090 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.093 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.096 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.099 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.102 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.105 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.108 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.112 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.116 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.119 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.181 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
2025-12-22 19:11:20.186 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.190 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.194 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.197 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.201 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.205 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.209 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.212 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.216 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.219 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.246 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
2025-12-22 19:11:20.250 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.254 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.257 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.260 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.263 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.267 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.271 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.275 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.281 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.285 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.304 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
